,DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID,day0,day1,day2,day3,day4,day5,day6,day7,day8,day9
2380,2000-03-16 15:19:56.380,40.38867,-125.2385,4.803,5.7,Mw,139,228,77,0.29,NCSN,21086915,0,0,0,0,0,0,0,0,0,0
13604,2001-01-13 13:08:42.100,40.75566,-125.2445,2.243,5.4,Mw,155,233,83,0.26,NCSN,21143281,0,0,0,0,0,0,0,0,0,0
20427,2001-07-17 12:07:25.830,36.01266,-117.86633,7.158,5.2,Mw,15,177,19,0.06,NCSN,21181820,1,0,0,1,0,0,0,0,0,0
21603,2001-08-10 20:19:27.060,39.81116,-120.61667,5.011,5.2,Mw,76,111,35,0.34,NCSN,21188442,1,0,0,0,0,0,0,0,0,0
33074,2002-06-17 16:55:07.680,40.80983,-124.552,17.195,5.2,Mw,63,225,41,0.16,NCSN,21231051,0,0,0,0,0,0,0,0,0,0
49786,2003-08-15 09:22:15.650,40.97867,-125.35733,8.142,5.0,Mw,82,251,103,0.19,NCSN,21299771,0,0,0,0,0,0,0,0,0,0
54793,2003-12-22 19:15:56.240,35.7005,-121.1005,8.382,6.5,Mw,58,71,5,0.07,NCSN,21323712,1,0,1,0,0,0,0,0,0,0
76139,2004-09-18 23:02:17.750,38.0095,-118.6785,3.355,5.4,Mw,50,55,6,0.08,NCSN,21396205,1,1,0,0,0,0,0,0,0,1
76177,2004-09-18 23:43:41.490,38.02333,-118.658,0.431,5.35,Mw,48,76,8,0.07,NCSN,30500748,1,1,0,0,0,0,0,0,0,1
77855,2004-09-28 17:15:24.250,35.81816,-120.366,8.136,5.97,Mw,60,26,2,0.04,NCSN,30228270,1,1,1,1,0,0,0,0,0,0
78603,2004-09-29 17:10:04.030,35.95367,-120.50217,10.772,5.0,Mw,62,33,0,0.07,NCSN,21401069,1,1,1,0,0,0,0,0,0,1
78690,2004-09-29 22:54:53.930,35.3865,-118.62867,8.266,5.0,Mw,17,121,18,0.06,NCSN,21400816,1,0,1,0,0,0,0,0,0,1
99510,2005-06-15 02:50:51.330,41.23267,-125.98634,2.122,6.98,Mw,200,251,162,0.41,NCSN,21462362,1,0,0,0,0,0,0,0,0,0
107526,2005-09-22 20:24:48.310,35.0265,-119.03017,10.07,5.0,Md,32,78,7,0.17,NCSN,71122754,0,0,0,0,0,0,0,0,0,1
127904,2006-07-19 11:41:43.460,40.28067,-124.43317,20.064,5.0,Mw,32,223,23,0.09,NCSN,21527987,0,0,0,0,0,0,0,0,0,0
141297,2007-02-26 12:19:54.530,40.64283,-124.86283,-0.533,5.4,Mw,85,244,48,0.19,NCSN,40193932,0,0,0,1,0,0,0,0,1,0
145016,2007-05-09 07:50:03.830,40.3745,-125.01617,-0.423,5.2,Mw,56,239,62,0.14,NCSN,51181705,1,0,0,0,0,0,0,0,0,0
147514,2007-06-25 02:32:24.620,41.1155,-124.8245,2.563,5.0,Mw,177,213,67,0.28,NCSN,51183469,0,0,0,0,0,0,0,1,0,0
154976,2007-10-31 03:04:54.810,37.4335,-121.77433,9.741,5.45,Mw,164,50,3,0.11,NCSN,40204628,0,0,0,0,0,0,0,0,0,1
167552,2008-04-26 06:40:10.950,39.5235,-119.93183,1.132,5.13,ML,33,93,10,0.16,NCSN,40216182,0,0,1,1,0,1,0,0,0,0
168267,2008-04-30 03:03:06.900,40.83583,-123.49683,27.755,5.4,Mw,33,36,20,0.14,NCSN,40216664,0,1,0,0,0,0,0,0,0,0
199338,2009-10-01 10:01:23.830,36.38517,-117.8375,-1.442,5.04,Mw,132,143,50,0.34,NCSN,71290111,0,1,1,0,0,1,0,1,0,0
199486,2009-10-03 01:15:59.740,36.39267,-117.85067,-1.212,5.13,Mw,144,142,49,0.3,NCSN,71291961,1,0,0,1,0,0,1,0,0,0
206392,2010-01-10 00:27:39.320,40.652,-124.6925,28.737,6.5,Mw,48,220,36,0.2,NCSN,71338066,1,1,0,0,0,1,0,0,0,0
208144,2010-02-04 20:20:21.970,40.41233,-124.96133,23.048,5.88,Mw,41,233,53,0.19,NCSN,71348851,0,0,0,0,0,0,0,0,0,0
267136,2012-02-13 21:07:02.770,41.14317,-123.79034,27.358,5.6,Mw,47,72,20,0.27,NCSN,71734741,0,0,0,0,0,0,0,0,0,0
280241,2012-07-21 01:52:01.690,40.38533,-125.528,24.632,5.1,Mw,38,254,102,0.26,NCSN,71819391,1,0,0,0,0,0,0,0,0,0
280250,2012-07-21 06:04:21.250,40.41167,-125.33083,5.871,5.19,Mw,44,253,85,0.18,NCSN,71819471,0,0,0,0,0,0,0,0,0,0
286815,2012-10-21 06:55:09.510,36.30967,-120.856,8.619,5.29,Mw,101,68,7,0.13,NCSN,71863625,0,0,0,0,0,0,0,0,0,0
297029,2013-02-13 00:10:13.960,38.05217,-118.04617,11.772,5.3,ML,72,186,25,0.16,NCSN,71936235,0,0,0,0,0,0,0,0,0,0
305380,2013-05-24 03:47:08.180,40.19183,-121.0595,7.968,5.69,Mw,35,69,9,0.08,NCSN,71996906,1,0,0,0,0,0,0,0,0,0
331668,2014-03-10 05:18:13.430,40.82867,-125.13383,16.441,6.8,Mw,116,229,73,0.15,NCSN,72182046,1,0,1,0,1,1,0,0,1,0
